measurement_date,upstream_water_level,downstream_water_level,inflow_rate,outflow_rate
2013 Jan 08,174.06,65.00,5500,7380
2013 Jan 09,172.90,65.40,5000,7380
2013 Jan 10,172.78,65.34,5200,7440
2013 Jan 11,172.69,65.56,5200,7440
2013 Jan 12,172.61,65.14,5200,7430
2013 Jan 13,172.53,65.24,5400,7430
2013 Jan 14,172.45,65.11,5600,7420
2013 Jan 15,172.38,65.27,5500,7440
2013 Jan 16,172.30,65.18,5300,7440
2013 Jan 17,172.18,65.30,5300,7450
2013 Jan 18,172.17,65.00,5500,7430
2013 Jan 19,172.08,65.08,5500,7430
2013 Jan 20,172.03,64.95,5300,7430
2013 Jan 21,171.91,64.82,4900,7440
2013 Jan 22,171.81,65.06,4900,7460
2013 Jan 23,171.73,65.31,4500,7470
2013 Jan 24,171.61,65.46,4900,7480
2013 Jan 25,171.53,65.55,4900,7520
2013 Jan 26,171.39,65.54,4900,7520
2013 Jan 27,171.22,65.42,4700,7520
2013 Jan 28,171.12,65.18,4600,7510
2013 Jan 29,170.87,65.27,4300,7520
2013 Jan 30,170.70,65.48,3900,7550
2013 Jan 31,170.51,65.53,4000,7580
2013 Feb 01,170.27,65.12,4000,7770
2013 Feb 02,170.09,64.94,4100,7720
2013 Feb 03,169.99,65.12,4000,7560
2013 Feb 04,169.72,65.33,4100,7600
2013 Feb 05,169.54,65.88,4000,7650
2013 Feb 06,169.34,65.34,3900,7630
2013 Feb 07,169.08,65.36,3800,7650
2013 Feb 08,168.96,65.38,3900,7670
2013 Feb 09,168.96,65.38,3900,7670
2013 Feb 10,168.59,65.50,3900,7670
2013 Feb 11,168.39,65.12,4000,8210
2013 Feb 12,168.18,65.13,4000,8240
2013 Feb 13,167.97,65.54,4000,8280
2013 Feb 14,167.80,65.54,3900,7740
2013 Feb 15,167.60,65.44,3900,7760
2013 Feb 16,167.35,65.40,3800,7760
2013 Feb 17,167.12,65.10,3800,7260
2013 Feb 18,166.91,65.05,3900,7270
2013 Feb 19,166.77,65.28,3900,7300
2013 Feb 20,166.59,65.27,4000,7320
2013 Feb 21,166.46,65.22,4100,7350
2013 Feb 22,166.29,65.36,4200,7340
2013 Feb 23,166.12,65.29,4200,7350
2013 Feb 24,165.93,65.12,4400,7360
2013 Feb 25,165.79,65.22,4400,7360
2013 Feb 26,165.61,65.21,4400,7390
2013 Feb 27,165.44,65.18,4400,7330
2013 Feb 28,165.32,65.38,4700,7370
2013 Mar 01,165.13,65.08,5000,6640
2013 Mar 02,165.16,65.12,4700,6690
2013 Mar 03,165.08,65.19,4700,6700
2013 Mar 04,169.93,65.23,4800,6690
2013 Mar 05,164.80,65.32,4700,6730
2013 Mar 06,164.70,65.12,4700,6720
2013 Mar 07,164.60,65.18,5100,6730
2013 Mar 08,164.50,65.32,5000,6750
2013 Mar 09,164.37,65.18,5100,6750
2013 Mar 10,164.22,64.91,5100,6740
2013 Mar 11,164.13,65.04,4900,6750
2013 Mar 12,164.09,65.37,5000,6760
2013 Mar 13,163.93,65.26,5000,6770
2013 Mar 14,163.83,65.05,4900,6750
2013 Mar 15,163.73,65.01,4900,6750
2013 Mar 16,163.60,65.56,5000,6810
2013 Mar 17,163.57,66.23,5100,6860
2013 Mar 18,163.50,65.60,5100,6830
2013 Mar 19,163.39,64.99,5200,5490
2013 Mar 20,163.03,64.98,5100,8090
2013 Mar 21,162.99,65.53,5100,6850
2013 Mar 22,162.88,65.36,5200,6820
2013 Mar 23,162.84,65.17,5100,6710
2013 Mar 24,162.68,65.17,5000,6770
2013 Mar 25,162.53,65.34,4800,6740
2013 Mar 26,162.52,65.44,4800,6740
2013 Mar 27,162.40,65.31,5000,6760
2013 Mar 28,162.28,64.99,5000,6720
2013 Mar 29,162.13,64.85,4900,6720
2013 Mar 30,161.59,65.23,4800,6720
2013 Mar 31,161.79,65.22,4700,6730
2013 Apr 01,161.70,65.16,4800,6730
2013 Apr 02,161.60,65.13,5000,6730
2013 Apr 03,161.46,65.12,5010,6730
2013 Apr 04,161.39,65.15,5100,6690
2013 Apr 05,161.34,65.16,5700,6690
2013 Apr 06,161.35,65.22,6800,6710 
2013 Apr 07,161.60,65.13,5000,6730
2013 Apr 08,161.46,65.12,5010,6730
2013 Apr 09,161.39,65.15,5100,6690
2013 Apr 10,162.03,64.92,7000,6640 
2013 Apr 11,162.29,65.17,8600,6950
2013 Apr 12,162.57,65.16,8200,6930
2013 Apr 13,162.79,65.37,8500,7720
2013 Apr 14,163.00,65.46,8500,7700
2013 Apr 15,163.17,65.46,8000,7690
2013 Apr 16,163.65,65.60,7200,7690
2013 Apr 17,163.19,65.57,6600,8920
2013 Apr 18,163.05,64.92,7000,8880
2013 Apr 19,163.14,64.82,7000,7320
2013 Apr 20,162.95,65.16,5700,9250
2013 Apr 21,162.63,64.97,5400,9250
2013 Apr 22,162.24,65.18,5200,9890
2013 Apr 23,161.88,65.47,5200,9950
2013 Apr 24,161.54,65.12,5300,9960
2013 Apr 25,161.18,65.53,5300,10000
2013 Apr 26,160.85,65.12,5600,8620
2013 Apr 27,160.57,65.15,5200,8620
2013 Apr 28,160.23,65.41,4600,8650
2013 Apr 29,160.12,65.53,7000,6990
2013 Apr 30,160.26,65.19,5800,6950
2013 May 01,160.19,64.95,5600,6940
2013 May 02,160.09,65.09,5000,6960
2013 May 03,159.95,64.85,5200,6950
2013 May 04,159.91,65.24,5800,7010
2013 May 05,159.19,65.18,6100,6990
2013 May 06,159.90,65.27,7900,6990 
2013 May 07,160.05,65.21,7800,7570
2013 May 08,160.10,65.14,8000,8340
2013 May 09,160.20,65.02,9200,9080
2013 May 10,160.15,65.19,9000,10100 
2013 May 11,160.13,65.76,11000,11300
2013 May 12,160.13,65.45,12000,12100
2013 May 13,159.83,65.68,10000,14000
2013 May 14,159.17,65.10,10000,16200
2013 May 15,158.57,64.51,12000,16600
2013 May 16,157.90,64.64,10300,16800
2013 May 17,157.22,65.20,10500,16900
2013 May 18,156.65,65.05,12000,16700
2013 May 19,156.14,65.74,11200,17000
2013 May 20,155.50,65.33,10800,17000
2013 May 21,154.87,65.51,10500,16600
2013 May 22,154.31,65.57,10000,15200
2013 May 23,153.71,65.70,9000,14800
2013 May 24,153.10,65.56,9200,14600
2013 May 25,153.22,64.62,16800,13900
2013 May 26,153.48,65.18,13200,18800
2013 May 27,152.72,65.11,11200,18200
2013 May 28,,,,
2013 May 29,151.56,65.29,15500,18700
2013 May 30,151.52,65.22,16000,17600
2013 May 31,150.79,64.82,17000,18800
2013 Jun 01,150.35,64.97,13800,16500
2013 Jun 02,149.80,65.56,11500,17800
2013 Jun 03,149.34,64.76,10700,14900
2013 Jun 04,148.81,65.49,10800,14600
2013 Jun 05,148.21,65.18,10500,14200
2013 Jun 06,147.62,65.00,13500,14800 
2013 Jun 07,147.33,64.75,14800,18100
2013 Jun 08,146.70,65.22,14400,17700
2013 Jun 09,146.32,64.89,17500,18600
2013 Jun 10,146.59,66.55,27000,21600
2013 Jun 11,146.29,67.75,21000,25100
2013 Jun 12,146.29,67.75,21000,25100
2013 Jun 13,145.90,67.11,17500,22200
2013 Jun 14,145.97,65.05,16000,18300
2013 Jun 15,145.92,64.48,14500,16100
2013 Jun 16,145.92,65.67,13000,15500
2013 Jun 17,145.66,65.53,12200,15500
2013 Jun 18,145.39,64.60,12000,14200
2013 Jun 19,145.22,64.83,11500,13600
2013 Jun 20,145.13,,10500,10500
2013 Jun 21,145.04,,10500,10600
2013 Jun 22,145.12,64.67,13300,11200
2013 Jun 23,145.59,65.47,22000,17900
2013 Jun 24,146.14,66.09,24000,17600
2013 Jun 25,145.82,67.62,21000,23900
2013 Jun 26,145.08,67.55,19300,24400
2013 Jun 27,145.33,66.85,18000,20600
2013 Jun 28,145.39,65.02,16000,19400
2013 Jun 29,145.44,64.89,14200,16100
2013 Jun 30,145.48,65.04,13000,15800
2013 Jul 01,145.13,65.04,2000,17100
2013 Jul 02,145.63,67.13,37000,24700
2013 Jul 03,147.53,67.41,35000,24700
2013 Jul 04,148.36,68.20,31000,28900
2013 Jul 05,148.32,68.43,27500,30600
2013 Jul 06,147.66,68.64,32500,31600 
2013 Jul 07,148.20,68.45,33000,30900
2013 Jul 08,148.30,68.70,25000,32300
2013 Jul 09,148.35,67.82,22500,27000
2013 Jul 10,145.97,68.55,26000,30800
2013 Jul 11,145.74,68.37,34000,30200
2013 Jul 12,146.40,68.65,39500,31500
2013 Jul 13,147.25,68.38,40500,29800 
2013 Jul 14,150.15,67.99,34000,27600
2013 Jul 15,151.10,68.61,29000,31000
2013 Jul 16,145.74,68.37,34000,30200
2013 Jul 17,149.57,68.58,23800,31600
2013 Jul 18,147.24,68.73,26700,32600 
2013 Jul 19,147.37,68.99,38000,33600
2013 Jul 20,147.97,68.79,47000,34300
2013 Jul 21,150.28,68.52,48000,33400
2013 Jul 22,152.21,68.99,43000,34700
2013 Jul 23,153.19,69.43,35800,34000
2013 Jul 24,153.54,69.07,40500,34300
2013 Jul 25,154.95,68.68,36000,29500
2013 Jul 26,155.57,68.64,27000,29100
2013 Jul 27,155.92,68.57,26000,26100
2013 Jul 28,155.74,68.48,25000,26200
2013 Jul 29,155.67,68.21,26000,25000
2013 Jul 30,154.85,68.64,26500,29500
2013 Jul 31,154.63,68.65,27500,29700
2013 Aug 01,154.61,68.29,25200,27700
2013 Aug 02,154.84,68.59,24500,30600
2013 Aug 03,153.37,68.57,27000,29800
2013 Aug 04,152.90,68.77,24500,30000
2013 Aug 05,152.25,68.52,21200,29300
2013 Aug 06,151.38,68.50,20000,27900 
2013 Aug 07,149.91,68.86,18000,30900
2013 Aug 08,148.55,68.73,17800,30200
2013 Aug 09,146.99,68.89,25500,31400
2013 Aug 10,147.67,67.79,29000,24200
2013 Aug 11,148.49,67.79,25800,24200 
2013 Aug 12,148.30,68.22,19000,26900
2013 Aug 13,147.97,67.48,19200,22800
2013 Aug 14,147.65,67.51,22000,23100
2013 Aug 15,147.64,67.53,20200,23100
2013 Aug 16,147.40,67.59,19500,23200 
2013 Aug 17,148.16,65.38,17000,17800
2013 Aug 18,148.22,65.22,16600,17700
2013 Aug 19,148.54,64.94,18400,16700
2013 Aug 20,148.62,65.24,16200,19300
2013 Aug 21,148.49,65.21,15000,18200 
2013 Aug 22,148.22,65.55,14500,18300
2013 Aug 23,147.78,65.30,13300,18500
2013 Aug 24,147.83,65.21,12700,14800
2013 Aug 25,147.66,,12500,19400
2013 Aug 26,147.41,,12000,15100
2013 Aug 27,147.50,,17200,13200
2013 Aug 28,148.33,,16500,12800 
2013 Aug 29,148.99,,14700,12500
2013 Aug 30,149.31,,15500,12600
2013 Aug 31,149.90,,16000,12500
2013 Sep 01,150.30,65.19,14500,12400
2013 Sep 02,150.60,64.77,15000,12300
2013 Sep 03,151.02,64.52,14500,12200
2013 Sep 04,151.25,65.79,14200,12300
2013 Sep 05,151.67,65.42,17200,12200
2013 Sep 06,152.67,65.60,21500,12100 
2013 Sep 07,154.09,65.39,20500,11000
2013 Sep 08,155.28,65.03,17000,10800
2013 Sep 09,156.42,64.82,21500,10700
2013 Sep 10,157.67,65.85,21500,11900
2013 Sep 11,158.63,65.75,20000,12300 
2013 Sep 12,159.82,65.58,22800,12200
2013 Sep 13,161.51,65.19,26000,12400
2013 Sep 14,162.77,65.35,24000,16200
2013 Sep 15,163.66,64.89,20800,16000
2013 Sep 16,164.24,64.83,20500,17000
2013 Sep 17,164.58,64.90,19500,17300
2013 Sep 18,165.77,64.86,18800,17400
2013 Sep 19,164.94,64.96,19300,17700 
2013 Sep 20,165.13,64.96,21000,17700
2013 Sep 21,165.78,64.83,24500,17500
2013 Sep 22,166.33,64.79,20800,17500
2013 Sep 23,166.42,,18800,17700
2013 Sep 24,166.35,,14500,17800
2013 Sep 25,166.13,,16000,17900
2013 Sep 26,166.23,,15700,15900
2013 Sep 27,166.41,,14500,13700 
2013 Sep 28,166.60,,14000,14200
2013 Sep 29,166.76,,15700,14200
2013 Sep 30,166.93,,13800,13800
2013 Oct 01,167.18,65.23,13500,12200
2013 Oct 02,167.36,65.16,13000,12000
2013 Oct 03,167.53,65.04,12300,12100
2013 Oct 04,167.62,65.18,11000,10900
2013 Oct 05,167.76,65.21,11000,10900
2013 Oct 06,167.86,65.14,11000,10900
2013 Oct 07,168.09,65.26,11600,10900
2013 Oct 08,168.33,65.78,11300,8170
2013 Oct 09,168.99,65.03,10500,8890
2013 Oct 10,168.96,65.26,11000,7780
2013 Oct 11,169.34,65.63,11000,7780
2013 Oct 12,169.72,65.73,10500,7760
2013 Oct 13,170.70,65.48,10500,7760
2013 Oct 14,170.38,65.53,10600,7790
2013 Oct 15,170.70,65.50,10000,7770
2013 Oct 16,170.93,65.44,10000,7740
2013 Oct 17,171.20,65.29,9800,7710
2013 Oct 18,171.53,65.17,10200,7690
2013 Oct 19,171.78,65.63,9600,7690
2013 Oct 20,171.98,65.28,10300,7710
2013 Oct 21,172.26,64.95,10000,7660
2013 Oct 22,172.51,65.46,9500,7680
2013 Oct 23,172.68,65.20,9500,7330
2013 Oct 24,172.90,65.52,8200,7710
2013 Oct 25,172.93,65.72,8800,7720
2013 Oct 26,173.11,65.74,9000,7710
2013 Oct 27,173.35,65.56,9200,7680
2013 Oct 28,173.57,65.54,9400,7720
2013 Oct 29,173.67,65.51,9000,7700
2013 Oct 30,173.72,65.78,8200,8690
2013 Oct 31,173.84,65.24,8200,7680
2013 Nov 01,173.95,65.23,8200,7660
2013 Nov 02,174.02,65.16,8500,7670
2013 Nov 03,174.12,65.05,7500,7650
2013 Nov 04,174.16,64.84,7500,7630
2013 Nov 05,174.26,64.94,7400,7010
2013 Nov 06,174.38,65.11,7400,6350
2013 Nov 07,174.51,65.21,7400,6350
2013 Nov 08,174.62,65.03,7400,6340
2013 Nov 09,174.78,65.06,7400,6330
2013 Nov 10,174.85,65.42,7500,6340
2013 Nov 11,174.92,65.27,7600,8430
2013 Nov 12,174.97,65.10,7400,8420
2013 Nov 13,174.98,64.87,7400,8400
2013 Nov 14,174.90,64.60,7200,8390
2013 Nov 15,174.81,64.68,7200,8400
2013 Nov 16,174.82,64.65,7200,7710
2013 Nov 17,174.68,64.74,7100,7710
2013 Nov 18,174.57,64.84,6500,7730
2013 Nov 19,174.57,65.04,6400,6620
2013 Nov 20,174.62,64.81,6400,6150
2013 Nov 21,174.59,65.01,6200,6160
2013 Nov 22,174.56,65.03,6100,6510
2013 Nov 23,174.63,65.03,6200,5840
2013 Nov 24,174.24,64.91,6200,5820
2013 Nov 25,174.73,64.85,6200,6010
2013 Nov 26,174.68,64.80,6200,6310
2013 Nov 27,174.63,64.71,6000,6660
2013 Nov 28,174.59,65.11,6000,7380
2013 Nov 29,174.55,65.30,5900,7040
2013 Nov 30,174.62,65.09,5900,5310
2013 Dec 01,174.56,64.34,5800,6080
2013 Dec 02,174.53,64.83,5600,6410
2013 Dec 03,174.49,64.99,5600,6070
2013 Dec 04,174.41,65.18,5700,6080
2013 Dec 05,174.45,65.30,5600,6090
2013 Dec 06,174.39,65.35,5200,6050
2013 Dec 07,174.34,65.54,5200,5930
2013 Dec 08,174.34,65.47,5200,5930
2013 Dec 09,174.26,65.37,5100,5940
2013 Dec 10,174.19,65.32,5100,5940
2013 Dec 11,174.10,65.38,5300,6920
2013 Dec 12,174.03,65.29,5300,6910
2013 Dec 13,173.97,65.07,5350,6890
2013 Dec 14,173.97,65.09,5350,5940
2013 Dec 15,173.91,65.21,5450,5950
2013 Dec 16,173.91,65.05,5400,5330
2013 Dec 17,173.50,65.05,5450,5870
2013 Dec 18,173.80,65.38,5450,5870
2013 Dec 19,173.78,65.13,5350,5870
2013 Dec 20,173.73,64.98,5500,5850
2013 Dec 21,173.74,65.27,5700,5870
2013 Dec 22,173.72,65.70,5700,5870
2013 Dec 23,173.50,65.05,5450,5870
2013 Dec 24,173.65,65.16,5300,5880
2013 Dec 25,173.61,65.33,5300,5880
2013 Dec 26,173.53,65.35,5200,5870
2013 Dec 27,173.55,65.29,5200,5890
2013 Dec 28,173.54,65.13,5200,5340
2013 Dec 29,173.44,65.19,5100,5860
2013 Dec 30,173.37,65.46,5200,5910
2013 Dec 31,173.33,65.32,5100,5890
2014 Jan 01,173.25,65.22,5000,6320
2014 Jan 02,173.14,65.30,4850,6330
2014 Jan 03,173.04,65.39,5000,6340
2014 Jan 04,172.87,65.80,5000,7440
2014 Jan 05,172.66,65.40,5100,7440
2014 Jan 06,172.52,65.34,5200,7430
2014 Jan 07,172.34,64.96,5000,7410
2014 Jan 08,172.16,64.79,5100,7430
2014 Jan 09,171.98,64.86,5100,7450
2014 Jan 10,171.82,65.35,5000,7480
2014 Jan 11,171.69,65.26,5100,7490
2014 Jan 12,171.53,65.18,4900,7500
2014 Jan 13,171.35,65.27,4700,7500
2014 Jan 14,171.11,65.31,4900,7530
2014 Jan 15,170.91,65.03,5000,7520
2014 Jan 16,170.84,65.02,5500,7520
2014 Jan 17,170.71,65.40,4900,7550
2014 Jan 18,170.44,65.23,4700,7560
2014 Jan 19,170.29,65.28,4700,7580
2014 Jan 20,170.05,65.36,4700,7590
2014 Jan 21,169.78,65.59,4700,7630
2014 Jan 22,169.58,65.36,4700,7640
2014 Jan 23,169.45,65.42,4600,7650
2014 Jan 24,169.33,65.64,4500,7690
2014 Jan 25,169.09,65.57,4400,7690
2014 Jan 26,168.94,65.47,4200,7690
2014 Jan 27,168.78,65.46,4200,7700
2014 Jan 28,168.60,65.58,4200,7720
2014 Jan 29,168.48,65.69,4400,7740
2014 Jan 30,168.35,65.76,4100,7750
2014 Jan 31,168.21,65.54,4100,7620
2014 Feb 01,168.01,65.80,4300,7650
2014 Feb 02,167.85,65.88,4200,7670
2014 Feb 03,167.54,65.75,4100,7680
2014 Feb 04,167.26,65.47,4000,7680
2014 Feb 05,167.09,65.29,4000,7660
2014 Feb 06,166.87,65.50,4000,7700
2014 Feb 07,166.73,65.66,4000,7730
2014 Feb 08,166.53,65.80,4100,6900
2014 Feb 09,166.38,65.70,4100,6620
2014 Feb 10,166.28,65.26,4700,6680
2014 Feb 11,166.11,65.36,4550,6610
2014 Feb 12,165.98,65.56,4800,6640
2014 Feb 13,165.86,65.38,4800,6630
2014 Feb 14,165.75,65.44,4900,6650
2014 Feb 15,165.59,65.21,4900,6630
2014 Feb 16,165.46,65.22,4900,6650
2014 Feb 17,165.34,65.20,4700,6660
2014 Feb 18,165.24,65.37,4900,6670
2014 Feb 19,165.17,65.32,4950,6660
2014 Feb 20,165.01,65.32,4950,6680
2014 Feb 21,164.84,65.31,4700,8110
2014 Feb 22,164.62,65.49,4800,7670
2014 Feb 23,164.39,65.52,5100,7690
2014 Feb 24,164.23,65.35,5200,7700
2014 Feb 25,164.07,65.33,5500,7720
2014 Feb 26,163.83,65.01,5000,7710
2014 Feb 27,163.59,65.19,4800,7690
2014 Feb 28,163.34,65.31,4700,7720
2014 Mar 01,163.07,65.68,4700,7770
2014 Mar 02,162.87,65.34,5000,7750
2014 Mar 03,162.62,65.37,4900,7760
2014 Mar 04,162.55,65.40,5050,6740
2014 Mar 05,162.44,65.29,5400,6720
2014 Mar 06,162.44,65.42,5300,6650
2014 Mar 07,162.37,65.48,5400,6650
2014 Mar 08,162.44,65.48,5400,7430
2014 Mar 09,162.17,65.47,5000,6660
2014 Mar 10,162.06,65.51,5100,6680
2014 Mar 11,161.91,65.36,5100,6670
2014 Mar 12,161.91,65.28,5100,6660
2014 Mar 13,161.83,65.34,5000,6670
2014 Mar 14,161.74,65.63,5000,6690
2014 Mar 15,161.63,65.58,5000,6700
2014 Mar 16,161.51,65.52,5100,6710
2014 Mar 17,161.33,65.61,4900,6750
2014 Mar 18,161.21,65.60,4700,6720
2014 Mar 19,160.97,65.77,4800,6760
2014 Mar 20,160.98,65.62,5200,6740
2014 Mar 21,161.06,65.73,5800,6750
2014 Mar 22,161.10,65.59,6000,6730
2014 Mar 23,161.03,65.80,5300,6470
2014 Mar 24,161.00,65.86,5200,6760
2014 Mar 25,160.93,65.59,5400,6740
2014 Mar 26,160.94,65.45,5400,6740
2014 Mar 27,160.71,65.53,5300,6750
2014 Mar 28,160.74,65.80,6000,6770
2014 Mar 29,160.77,65.98,6800,6790
2014 Mar 30,160.88,65.79,7300,6780
2014 Mar 31,161.12,65.20,7600,6700
2014 Apr 01,161.49,64.95,10000,6690
2014 Apr 02,162.06,65.21,11000,6660
2014 Apr 03,162.62,65.04,10200,6830
2014 Apr 04,163.10,65.87,9000,6870
2014 Apr 05,163.36,65.20,8200,6890
2014 Apr 06,163.60,65.42,8600,6870
2014 Apr 07,163.94,65.13,9000,6850
2014 Apr 08,164.22,65.26,8800,7110
2014 Apr 09,163.10,65.87,9000,6870
2014 Apr 10,164.46,64.73,9800,8660
2014 Apr 11,164.55,64.50,10200,9950
2014 Apr 12,164.55,64.47,10000,9960
2014 Apr 13,164.63,64.50,9300,9960
2014 Apr 14,164.43,65.13,8000,10000
2014 Apr 15,164.31,65.54,9000,10100
2014 Apr 16,164.08,64.62,8800,12000
2014 Apr 17,163.37,64.64,9500,12700
2014 Apr 18,163.64,64.53,10000,12700
2014 Apr 19,163.64,64.20,11600,12700
2014 Apr 20,162.81,65.04,9100,9780
2014 Apr 21,163.45,64.39,11200,12800
2014 Apr 22,163.28,64.57,10000,12800
2014 Apr 23,163.12,64.43,9700,12100
2014 Apr 24,164.43,65.13,8000,10000
2014 Apr 25,162.62,64.69,8900,11200
2014 Apr 26,162.84,64.38,8700,7310
2014 Apr 27,162.97,64.27,8400,7290
2014 Apr 28,162.98,64.60,8000,9370
2014 Apr 29,162.50,65.30,8000,13500
2014 Apr 30,161.98,65.76,8200,13700
2014 May 01,161.58,65.66,8000,13000
2014 May 02,162.62,65.01,7200,10700
2014 May 03,160.49,65.31,7800,13100
2014 May 04,160.08,65.32,8700,13200
2014 May 05,159.99,65.51,11600,13200
2014 May 06,159.89,65.63,11700,14400
2014 May 07,159.48,66.01,10600,15800
2014 May 08,158.97,64.73,9500,12900
2014 May 09,158.38,65.55,9000,13000
2014 May 10,157.78,65.36,9200,13700
2014 May 11,157.28,65.71,8800,13800
2014 May 12,156.70,65.08,9000,12600
2014 May 13,156.19,65.47,9500,13700
2014 May 14,155.78,65.09,9200,13300
2014 May 15,155.35,65.46,9400,13800
2014 May 16,154.89,65.66,8900,13700
2014 May 17,154.48,65.40,8200,12300
2014 May 18,154.15,65.46,7500,11100
2014 May 19,153.73,65.61,7000,11200
2014 May 20,153.08,65.87,6800,12700
2014 May 21,152.76,65.34,8500,12600
2014 May 22,152.53,65.87,8500,11500
2014 May 23,152.13,65.32,8500,13100
2014 May 24,151.67,65.68,9200,14200
2014 May 25,151.34,65.55,9500,14300
2014 May 26,151.26,65.16,12000,14100
2014 May 27,150.93,65.86,10200,15800
2014 May 28,150.34,66.36,10000,15500
2014 May 29,149.84,66.27,10500,15500
2014 May 30,149.33,65.40,10300,15400
2014 May 31,148.89,65.96,11500,16300
2014 Jun 01,148.38,65.73,11000,16500
2014 Jun 02,147.82,66.07,11700,16800
2014 Jun 03,147.42,65.48,13000,17300
2014 Jun 04,147.18,65.51,16000,16000
2014 Jun 05,147.04,65.58,16200,17500
2014 Jun 06,146.67,64.99,16500,19100
2014 Jun 07,146.67,64.99,16500,19100
2014 Jun 08,146.51,65.21,14800,17000
2014 Jun 09,146.10,65.73,13000,19000
2014 Jun 10,146.77,64.87,14800,16400
2014 Jun 11,145.56,64.94,15200,17200
2014 Jun 12,145.40,65.45,14600,17400
2014 Jun 13,145.28,65.10,13800,16300
2014 Jun 14,145.20,65.09,14200,15800
2014 Jun 15,145.30,65.19,15300,15900
2014 Jun 16,145.05,66.25,15800,18200
2014 Jun 17,145.49,65.06,13700,14100
2014 Jun 18,145.62,64.77,13300,14000
2014 Jun 19,146.10,65.73,13000,19000
2014 Jun 20,146.77,64.87,14800,16400
2014 Jun 21,145.93,64.78,19000,15600
2014 Jun 22,146.01,65.08,19200,19400
2014 Jun 23,146.17,65.16,17400,19300
2014 Jun 24,145.79,64.91,16000,19400
2014 Jun 25,145.45,66.42,17500,16900
2014 Jun 26,145.61,64.74,18200,17900
2014 Jun 27,145.70,65.46,19800,17000
2014 Jun 28,145.93,65.18,17800,18400
2014 Jun 29,145.83,65.14,17500,18400
2014 Jun 30,146.04,64.89,20500,19400
2014 Jul 01,146.43,65.18,21500,19300
2014 Jul 02,146.90,65.60,23600,21600
2014 Jul 03,146.41,67.28,24500,26200
2014 Jul 04,146.38,67.65,30000,27900
2014 Jul 05,147.02,67.85,26500,28000
2014 Jul 06,146.75,68.12,25000,28500
2014 Jul 07,146.38,68.14,25600,28900
2014 Jul 08,146.23,68.00,25000,27500
2014 Jul 09,146.08,67.86,24300,26500
2014 Jul 10,145.58,67.81,24800,28100
2014 Jul 11,145.18,67.51,26500,27600
2014 Jul 12,146.16,67.74,38000,28800
2014 Jul 13,147.29,67.65,32000,27900
2014 Jul 14,147.52,68.02,26000,30300
2014 Jul 15,149.70,67.69,37500,28500
2014 Jul 16,146.68,68.06,34000,30900
2014 Jul 17,147.59,68.08,40500,31100
2014 Jul 18,149.25,67.96,38000,30400
2014 Jul 19,150.53,68.08,34000,30500
2014 Jul 20,150.86,68.03,26800,30800
2014 Jul 21,150.39,68.04,27000,31300
2014 Jul 22,150.97,67.92,27500,26400
2014 Jul 23,150.17,68.02,23500,30600
2014 Jul 24,149.20,68.63,22500,31600
2014 Jul 25,148.80,67.81,21200,26200
2014 Jul 26,148.33,67.78,21200,24800
2014 Jul 27,147.86,67.81,20400,25100
2014 Jul 28,146.99,68.08,19000,26900
2014 Jul 29,145.92,68.05,18300,27300
2014 Jul 30,145.75,67.39,17000,22300
2014 Jul 31,145.95,65.02,16700,18400
2014 Aug 01,145.90,65.05,17500,18400
2014 Aug 02,145.08,65.31,21000,18500
2014 Aug 03,146.96,65.28,27000,18200
2014 Aug 04,148.41,65.34,22500,18300
2014 Aug 05,148.93,65.00,18500,18500
2014 Aug 06,149.19,65.04,23500,18400
2014 Aug 07,149.99,64.78,22200,18600
2014 Aug 08,148.99,68.27,21200,28300
2014 Aug 09,148.37,68.27,25000,28800
2014 Aug 10,148.09,68.24,25000,28900
2014 Aug 11,147.80,68.34,32000,31200
2014 Aug 12,149.32,67.35,32000,25500
2014 Aug 13,150.37,66.88,27100,24700
2014 Aug 14,150.83,66.90,24900,25100
2014 Aug 15,150.94,66.75,23400,25100
2014 Aug 16,151.09,66.76,21800,23400
2014 Aug 17,150.96,67.15,22000,23700
2014 Aug 18,151.00,67.09,27800,23600
2014 Aug 19,152.07,66.76,31200,23000
2014 Aug 20,153.26,67.63,32300,24400
2014 Aug 21,154.13,67.91,30500,25900
2014 Aug 22,154.00,68.35,27500,28200
2014 Aug 23,154.58,68.19,26000,28800
2014 Aug 24,154.40,68.34,24200,28800
2014 Aug 25,153.90,68.44,24000,30000
2014 Aug 26,153.76,68.41,24800,28600
2014 Aug 27,154.19,68.21,29000,27900
2014 Aug 28,154.96,68.22,35000,29300
2014 Aug 29,155.85,68.35,36000,28900
2014 Aug 30,156.90,68.29,33000,28300
2014 Aug 31,157.69,68.28,34000,27900
2014 Sep 01,160.10,67.98,48000,26900
2014 Sep 02,162.97,68.50,41000,28600
2014 Sep 03,161.84,70.31,38000,4210
2014 Sep 04,162.85,68.54,30000,29900
2014 Sep 05,163.21,68.17,26000,25800
2014 Sep 06,163.17,68.14,25500,25800
2014 Sep 07,163.09,68.15,24800,25800
2014 Sep 08,163.84,68.08,23800,25900
2014 Sep 09,162.87,68.00,24300,25800
2014 Sep 10,162.62,68.09,24000,26000
2014 Sep 11,162.29,68.05,25200,26100
2014 Sep 12,162.61,67.87,31500,24700
2014 Sep 13,163.39,67.98,36500,25700
